nov 12/21:41:40.871 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.873 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.875 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.877 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.879 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.881 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.883 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.885 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.887 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.889 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.891 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.893 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.895 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.897 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.899 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.901 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.903 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.905 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.907 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.909 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.911 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.913 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.915 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.917 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.919 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.921 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.923 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.925 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.927 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.929 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.930 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 12/21:41:40.930 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
nov 12/21:41:40.930 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
nov 12/21:41:40.930 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
nov 12/21:41:40.931 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
nov 12/21:41:40.931 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.933 DEBUG2 : 		ReadTarget16
nov 12/21:41:40.934 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.935 DEBUG2 : 		WriteTarget32 Address=0x20000300 Data=0x200059E0
nov 12/21:41:41.153 DEBUG2 : 		WriteTarget16 Address=0x20008D68 Data=0x00FE
nov 12/21:41:41.153 DEBUG2 : 		WriteTarget32 Address=0x2000BD84 Data=0x08000000
nov 12/21:41:41.154 DEBUG2 : 		STLinkWriteReg
nov 12/21:41:41.154 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
